Dt_Pedido,Dt_Emissao,Dt_Entrega,Mes_Base,Ano_Exec,CO_Fabrica,CO_Cliente,Incoterm,Veiculo,Qtd_pallets,Qtd_Transp,Moeda,Vlr_Frete
06/01/23,09/01/23,12/01/23,1,2023,3403208,2318,CIF,P24,24,3000,BRL,2847.637

04/01/23,11/01/23,14/01/23,1,2023,3403208,2318,CIF,P24,24,3000,BRL,2847.637

12/01/23,16/01/23,21/01/23,1,2023,3403208,2318,CIF,P24,24,3000,BRL,2847.637

15/01/23,21/01/23,25/01/23,1,2023,3403208,2318,CIF,P24,24,3000,BRL,2847.637

19/01/23,24/01/23,29/01/23,1,2023,3403208,2318,CIF,P24,24,3000,BRL,2847.637

18/01/23,27/01/23,31/01/23,1,2023,3403208,2318,CIF,P24,24,3000,BRL,2847.637

12/01/23,27/01/23,01/02/23,1,2023,3403208,2318,CIF,P24,24,3000,BRL,2847.637

19/01/23,27/01/23,01/02/23,1,2023,3403208,2318,CIF,P24,24,3000,BRL,2847.637

24/12/22,02/01/23,06/01/23,1,2023,3403208,2318,CIF,P24,24,2400,BRL,2260.453

30/12/22,09/01/23,14/01/23,1,2023,3403208,2318,CIF,P24,24,2400,BRL,2260.453

17/01/23,20/01/23,25/01/23,1,2023,3403208,2318,CIF,P24,24,2400,BRL,2260.453

19/01/23,23/01/23,28/01/23,1,2023,3403208,2318,CIF,P24,24,2400,BRL,2260.453

30/12/22,05/01/23,08/01/23,1,2023,3403208,2318,CIF,P24,24,3600,BRL,2579.889

31/12/22,06/01/23,09/01/23,1,2023,3403208,2318,CIF,P24,24,3600,BRL,2579.889

09/01/23,17/01/23,20/01/23,1,2023,3403208,2318,CIF,P24,24,3600,BRL,2579.889

13/01/23,19/01/23,21/01/23,1,2023,3403208,2318,CIF,P24,24,3600,BRL,2579.889

24/01/23,28/01/23,02/02/23,1,2023,3403208,2318,CIF,P24,24,3600,BRL,2579.889

29/12/22,10/01/23,14/01/23,1,2023,3403208,2318,FOB,P24,24,3000,BRL,0
23/01/23,27/01/23,31/01/23,1,2023,3403208,2318,FOB,P12,12,1500,BRL,0
12/01/23,27/01/23,31/01/23,1,2023,3403208,2318,FOB,P24,24,3000,BRL,0
24/01/23,27/01/23,01/02/23,1,2023,3403208,2318,FOB,P12,12,1800,BRL,0
16/01/23,27/01/23,31/01/23,1,2023,3403208,2318,FOB,P12,12,1500,BRL,0
05/01/23,16/01/23,20/01/23,1,2023,3403208,2317,CIF,P12,12,1800,BRL,1827.228

01/01/23,10/01/23,13/01/23,1,2023,3403208,2317,FOB,P12,12,1500,BRL,0
01/01/23,10/01/23,13/01/23,1,2023,3403208,2317,FOB,P24,24,3000,BRL,0
07/01/23,10/01/23,15/01/23,1,2023,3403208,2317,FOB,P24,24,3600,BRL,0
28/12/22,10/01/23,14/01/23,1,2023,3403208,2317,FOB,P12,12,1500,BRL,0
04/01/23,10/01/23,14/01/23,1,2023,3403208,2317,FOB,P24,24,3600,BRL,0
31/12/22,10/01/23,15/01/23,1,2023,3403208,2317,FOB,P12,12,1500,BRL,0
04/01/23,10/01/23,15/01/23,1,2023,3403208,2317,FOB,P12,12,1500,BRL,0
01/01/23,10/01/23,14/01/23,1,2023,3403208,2317,FOB,P12,12,1800,BRL,0
11/01/23,15/01/23,18/01/23,1,2023,3403208,2317,FOB,P12,12,1800,BRL,0
07/01/23,15/01/23,18/01/23,1,2023,3403208,2317,FOB,P12,12,1500,BRL,0
04/01/23,15/01/23,18/01/23,1,2023,3403208,2317,FOB,P12,12,1800,BRL,0
06/01/23,15/01/23,19/01/23,1,2023,3403208,2317,FOB,P12,12,1500,BRL,0
15/01/23,27/01/23,29/01/23,1,2023,3403208,2317,FOB,P12,12,1800,BRL,0
22/01/23,27/01/23,31/01/23,1,2023,3403208,2317,FOB,P12,12,1500,BRL,0
03/01/23,10/01/23,15/01/23,1,2023,3403208,2313,FOB,P12,12,1500,BRL,0
28/12/22,10/01/23,13/01/23,1,2023,3403208,2313,FOB,P24,24,3000,BRL,0
27/12/22,10/01/23,14/01/23,1,2023,3403208,2313,FOB,P12,12,1500,BRL,0
29/12/22,10/01/23,15/01/23,1,2023,3403208,2313,FOB,P12,12,1800,BRL,0
07/01/23,10/01/23,15/01/23,1,2023,3403208,2313,FOB,P24,24,3000,BRL,0
03/01/23,10/01/23,13/01/23,1,2023,3403208,2313,FOB,P24,24,3600,BRL,0
07/01/23,10/01/23,15/01/23,1,2023,3403208,2313,FOB,P24,24,2400,BRL,0
02/01/23,10/01/23,12/01/23,1,2023,3403208,2313,FOB,P24,24,2400,BRL,0
27/12/22,10/01/23,15/01/23,1,2023,3403208,2313,FOB,P24,24,3000,BRL,0
05/01/23,15/01/23,19/01/23,1,2023,3403208,2313,FOB,P24,24,3600,BRL,0
09/01/23,15/01/23,19/01/23,1,2023,3403208,2313,FOB,P12,12,1800,BRL,0
09/01/23,15/01/23,18/01/23,1,2023,3403208,2313,FOB,P12,12,1500,BRL,0
08/01/23,15/01/23,18/01/23,1,2023,3403208,2313,FOB,P12,12,1800,BRL,0
03/01/23,15/01/23,20/01/23,1,2023,3403208,2313,FOB,P24,24,3000,BRL,0
11/01/23,15/01/23,18/01/23,1,2023,3403208,2313,FOB,P12,12,1500,BRL,0
09/01/23,15/01/23,20/01/23,1,2023,3403208,2313,FOB,P12,12,1500,BRL,0
11/01/23,15/01/23,18/01/23,1,2023,3403208,2313,FOB,P12,12,1500,BRL,0
02/01/23,15/01/23,19/01/23,1,2023,3403208,2313,FOB,P12,12,1800,BRL,0
31/12/22,15/01/23,20/01/23,1,2023,3403208,2313,FOB,P24,24,3000,BRL,0
05/01/23,15/01/23,19/01/23,1,2023,3403208,2313,FOB,P24,24,2400,BRL,0
12/01/23,15/01/23,18/01/23,1,2023,3403208,2313,FOB,P24,24,2400,BRL,0
13/01/23,27/01/23,31/01/23,1,2023,3403208,2313,FOB,P24,24,3600,BRL,0
19/01/23,27/01/23,31/01/23,1,2023,3403208,2313,FOB,P24,24,2400,BRL,0
22/01/23,27/01/23,30/01/23,1,2023,3403208,2313,FOB,P12,12,1800,BRL,0
20/01/23,27/01/23,29/01/23,1,2023,3403208,2313,FOB,P12,12,1500,BRL,0
17/01/23,27/01/23,29/01/23,1,2023,3403208,2313,FOB,P12,12,1500,BRL,0
14/01/23,27/01/23,30/01/23,1,2023,3403208,2313,FOB,P12,12,1500,BRL,0
26/12/22,10/01/23,14/01/23,1,2023,3403208,2314,FOB,P12,12,1500,BRL,0
06/01/23,10/01/23,13/01/23,1,2023,3403208,2314,FOB,P12,12,1500,BRL,0
06/01/23,10/01/23,13/01/23,1,2023,3403208,2314,FOB,P24,24,2400,BRL,0
29/12/22,10/01/23,13/01/23,1,2023,3403208,2314,FOB,P12,12,1800,BRL,0
06/01/23,10/01/23,12/01/23,1,2023,3403208,2314,FOB,P12,12,1500,BRL,0
05/01/23,15/01/23,19/01/23,1,2023,3403208,2314,FOB,P12,12,1500,BRL,0
01/01/23,15/01/23,20/01/23,1,2023,3403208,2314,FOB,P24,24,2400,BRL,0
20/01/23,27/01/23,30/01/23,1,2023,3403208,2314,FOB,P12,12,1800,BRL,0
27/12/22,10/01/23,13/01/23,1,2023,3403208,2330,FOB,P12,12,1500,BRL,0
07/01/23,10/01/23,13/01/23,1,2023,3403208,2330,FOB,P12,12,1500,BRL,0
